Date,Traffic,Tier_1_ Video,Tier_2_Video,Tier_3 _Video,Tier_4 _Video,Tier_5 _Video,Tier_6 _Video,Tier_7 _Video,Tier_8 _Video,Tier_9 _Video,Tier1_NonVideo,Tier2_NonVideo,Tier3_NonVideo,Tier4_NonVideo,Tier5_NonVideo,Tier6_NonVideo,Tier7_NonVideo,Tier8_NonVideo,Tier9_NonVideo
01/01/2018,20050.000 ,0.000 ,0.000 ,1.000 ,4.000 ,0.000 ,3.000 ,0.000 ,5.000 ,1.000 ,0.000 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,8.000 
02/01/2018,32631.000 ,0.000 ,0.000 ,3.000 ,4.000 ,0.000 ,1.000 ,0.000 ,4.000 ,3.000 ,0.000 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
03/01/2018,61233.000 ,0.000 ,0.000 ,3.000 ,3.000 ,0.000 ,1.000 ,0.000 ,7.000 ,3.000 ,0.000 ,0.000 ,0.000 ,4.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
04/01/2018,68305.000 ,0.000 ,1.000 ,1.000 ,9.000 ,0.000 ,1.000 ,0.000 ,7.000 ,3.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,8.000 ,8.000 
05/01/2018,54619.000 ,0.000 ,0.000 ,1.000 ,7.000 ,0.000 ,1.000 ,0.000 ,3.000 ,3.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,8.000 
06/01/2018,79859.000 ,0.000 ,0.000 ,3.000 ,8.000 ,0.000 ,3.000 ,0.000 ,3.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,8.000 
07/01/2018,86825.000 ,0.000 ,0.000 ,1.000 ,8.000 ,0.000 ,3.000 ,0.000 ,3.000 ,3.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
08/01/2018,90326.000 ,0.000 ,0.000 ,1.000 ,8.000 ,0.000 ,1.000 ,0.000 ,5.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,4.000 ,0.000 
09/01/2018,113836.000 ,0.000 ,0.000 ,1.000 ,3.000 ,1.000 ,1.000 ,0.000 ,1.000 ,3.000 ,0.000 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,8.000 
10/01/2018,113456.000 ,0.000 ,0.000 ,1.000 ,4.000 ,0.000 ,0.000 ,0.000 ,9.000 ,3.000 ,0.000 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,1.000 ,8.000 
11/01/2018,135854.000 ,0.000 ,0.000 ,1.000 ,7.000 ,0.000 ,4.000 ,0.000 ,7.000 ,3.000 ,0.000 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,7.000 ,18.000 
12/01/2018,120958.000 ,0.000 ,0.000 ,1.000 ,5.000 ,1.000 ,1.000 ,0.000 ,3.000 ,3.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
13/01/2018,141510.000 ,0.000 ,0.000 ,1.000 ,7.000 ,0.000 ,3.000 ,0.000 ,3.000 ,0.000 ,0.000 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,8.000 
14/01/2018,144494.000 ,0.000 ,1.000 ,0.000 ,4.000 ,1.000 ,4.000 ,0.000 ,4.000 ,3.000 ,0.000 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,8.000 
15/01/2018,153550.000 ,0.000 ,0.000 ,1.000 ,3.000 ,0.000 ,4.000 ,0.000 ,4.000 ,1.000 ,0.000 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,9.000 
16/01/2018,142191.000 ,0.000 ,0.000 ,1.000 ,7.000 ,0.000 ,3.000 ,0.000 ,1.000 ,5.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,8.000 
17/01/2018,196416.000 ,0.000 ,0.000 ,1.000 ,5.000 ,1.000 ,1.000 ,0.000 ,7.000 ,4.000 ,0.000 ,0.000 ,3.000 ,0.000 ,0.000 ,0.000 ,0.000 ,1.000 ,8.000 
18/01/2018,195952.000 ,0.000 ,0.000 ,1.000 ,4.000 ,0.000 ,1.000 ,0.000 ,5.000 ,4.000 ,0.000 ,0.000 ,3.000 ,0.000 ,0.000 ,0.000 ,0.000 ,7.000 ,8.000 
19/01/2018,201860.000 ,0.000 ,0.000 ,1.000 ,7.000 ,1.000 ,1.000 ,0.000 ,3.000 ,4.000 ,0.000 ,0.000 ,3.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
20/01/2018,140256.000 ,0.000 ,0.000 ,0.000 ,9.000 ,0.000 ,0.000 ,0.000 ,0.000 ,3.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
21/01/2018,211079.000 ,0.000 ,0.000 ,4.000 ,5.000 ,1.000 ,5.000 ,0.000 ,0.000 ,5.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,8.000 
22/01/2018,204146.000 ,0.000 ,3.000 ,3.000 ,7.000 ,0.000 ,3.000 ,0.000 ,3.000 ,4.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,8.000 
23/01/2018,188905.000 ,0.000 ,0.000 ,3.000 ,5.000 ,0.000 ,4.000 ,0.000 ,1.000 ,4.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,8.000 
24/01/2018,201100.000 ,0.000 ,0.000 ,0.000 ,10.000 ,0.000 ,4.000 ,0.000 ,5.000 ,3.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
25/01/2018,230602.000 ,0.000 ,0.000 ,4.000 ,8.000 ,0.000 ,1.000 ,0.000 ,5.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,8.000 
26/01/2018,232374.000 ,0.000 ,0.000 ,4.000 ,9.000 ,0.000 ,1.000 ,0.000 ,1.000 ,4.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,8.000 
27/01/2018,237252.000 ,0.000 ,0.000 ,3.000 ,1.000 ,0.000 ,0.000 ,0.000 ,5.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,8.000 
28/01/2018,299917.000 ,0.000 ,0.000 ,3.000 ,7.000 ,0.000 ,0.000 ,0.000 ,1.000 ,4.000 ,0.000 ,0.000 ,0.000 ,3.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
29/01/2018,294428.000 ,0.000 ,0.000 ,3.000 ,4.000 ,0.000 ,0.000 ,0.000 ,1.000 ,3.000 ,0.000 ,0.000 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
30/01/2018,348498.000 ,0.000 ,0.000 ,9.000 ,3.000 ,0.000 ,0.000 ,0.000 ,5.000 ,3.000 ,0.000 ,0.000 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
31/01/2018,371433.000 ,0.000 ,1.000 ,8.000 ,3.000 ,0.000 ,0.000 ,0.000 ,8.000 ,4.000 ,0.000 ,0.000 ,3.000 ,0.000 ,0.000 ,0.000 ,0.000 ,4.000 ,0.000 
01/02/2018,355493.000 ,0.000 ,0.000 ,7.000 ,5.000 ,0.000 ,0.000 ,0.000 ,9.000 ,0.000 ,0.000 ,0.000 ,3.000 ,0.000 ,0.000 ,0.000 ,0.000 ,4.000 ,0.000 
02/02/2018,351031.000 ,0.000 ,0.000 ,8.000 ,4.000 ,0.000 ,0.000 ,0.000 ,3.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
03/02/2018,371814.000 ,0.000 ,0.000 ,7.000 ,4.000 ,0.000 ,0.000 ,0.000 ,4.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
04/02/2018,416316.000 ,0.000 ,0.000 ,9.000 ,7.000 ,1.000 ,3.000 ,0.000 ,5.000 ,3.000 ,0.000 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
05/02/2018,392130.000 ,0.000 ,0.000 ,7.000 ,4.000 ,1.000 ,0.000 ,0.000 ,7.000 ,5.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
06/02/2018,379532.000 ,0.000 ,0.000 ,5.000 ,4.000 ,0.000 ,0.000 ,0.000 ,7.000 ,12.000 ,0.000 ,0.000 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
07/02/2018,461057.000 ,0.000 ,0.000 ,7.000 ,3.000 ,0.000 ,1.000 ,0.000 ,8.000 ,12.000 ,0.000 ,0.000 ,3.000 ,4.000 ,0.000 ,0.000 ,0.000 ,3.000 ,0.000 
08/02/2018,453553.000 ,0.000 ,0.000 ,9.000 ,4.000 ,3.000 ,0.000 ,0.000 ,8.000 ,5.000 ,0.000 ,0.000 ,1.000 ,3.000 ,0.000 ,0.000 ,0.000 ,5.000 ,0.000 
09/02/2018,292867.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,1.000 ,0.000 ,3.000 ,3.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
10/02/2018,386953.000 ,0.000 ,0.000 ,3.000 ,0.000 ,1.000 ,0.000 ,0.000 ,5.000 ,4.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
11/02/2018,449473.000 ,0.000 ,0.000 ,3.000 ,0.000 ,1.000 ,1.000 ,0.000 ,9.000 ,8.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
12/02/2018,428254.000 ,0.000 ,0.000 ,1.000 ,1.000 ,1.000 ,1.000 ,0.000 ,9.000 ,5.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,3.000 ,0.000 
13/02/2018,492235.000 ,0.000 ,0.000 ,4.000 ,0.000 ,3.000 ,1.000 ,0.000 ,8.000 ,9.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,1.000 ,0.000 ,3.000 ,0.000 
14/02/2018,549353.000 ,0.000 ,0.000 ,5.000 ,0.000 ,0.000 ,3.000 ,0.000 ,13.000 ,17.000 ,0.000 ,0.000 ,3.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
15/02/2018,639574.000 ,0.000 ,1.000 ,1.000 ,0.000 ,3.000 ,0.000 ,0.000 ,9.000 ,12.000 ,0.000 ,0.000 ,3.000 ,0.000 ,0.000 ,1.000 ,0.000 ,7.000 ,1.000 
16/02/2018,439430.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,8.000 ,0.000 ,9.000 ,5.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
17/02/2018,437003.000 ,0.000 ,0.000 ,0.000 ,0.000 ,3.000 ,0.000 ,0.000 ,3.000 ,3.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
18/02/2018,683736.000 ,0.000 ,0.000 ,0.000 ,0.000 ,1.000 ,0.000 ,0.000 ,7.000 ,3.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,3.000 ,0.000 ,0.000 ,0.000 
19/02/2018,686895.000 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,5.000 ,5.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,4.000 ,0.000 ,0.000 ,0.000 
20/02/2018,860563.000 ,0.000 ,0.000 ,0.000 ,0.000 ,3.000 ,33.000 ,0.000 ,4.000 ,4.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,3.000 ,0.000 ,0.000 ,0.000 
